,unitid,log_yield_per_dollar,Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
1005,220464,4.435807764015213,1309426.8333333333,0.005918620118904442,0.0,0.041357026312148534,0.21500030356793515,0.1621733733118091,0.0,0.0,0.0858831236720494,0.2647761533322277,0.4058149615334241,0.07476528216353186,0.0
1006,220473,1.1501190687205833,22699777.333333332,0.07432325474205827,0.02599167933101018,0.0,0.17785551846529127,0.33263005428599507,0.0,0.0,0.09749596369021651,0.13629403883139413,0.2708303511699645,0.13970597391469275,0.0
1007,220516,1.4836612247950054,34050885.166666664,0.0035905625576224008,0.34652250914808574,0.0,0.08721596571711247,0.36942449332606925,0.0,0.0,0.050517144901827835,0.1918308085490739,0.3310102447605976,0.057217308462431504,0.0
1008,220598,0.8549299262922565,23900753.666666668,0.006538852380122294,0.09683604677403408,0.0,0.26663986230503944,0.2504480716444911,0.0,0.0,0.10879185525265375,0.06542461750264751,0.207636876332254,0.3569512961383463,0.010747276156326506
1009,220604,2.1238831454341915,16831237.0,0.08606703516008163,0.0,0.0,0.15112808801080196,0.23990611424856453,0.0,0.0,0.06565745385598615,0.20694006823938926,0.36319679494343365,0.08179596861082362,0.0
1010,220613,0.8492933991247213,69845785.5,0.01489983959017828,0.3372970656905276,0.0,0.1767124899277805,0.4225948894224978,0.0,0.0,0.054740792723516105,0.16016571489007975,0.2302613424446824,0.1320618049316662,0.0
1011,220631,-0.007148431568223322,108888382.83333333,0.005882082948925297,0.18761067038040638,0.0,0.09277047961545859,0.48286727012140995,0.0005324596174360486,0.013541628240148797,0.17491088125674356,0.09650307094207818,0.14459909395568718,0.05069700295867345,0.0
1012,220701,2.3512795846066328,17556180.166666668,0.012785744461629804,0.5546058562226535,0.0,0.1964508870337882,0.3487062167595094,0.0,0.0,0.04227424908423274,0.24012061811357766,0.19091113793062103,0.08651448201797048,0.0
1013,220710,0.26564362412053194,32201890.666666668,0.10073211850335247,0.5493257528398539,0.0006567885579223546,0.29455374525007183,0.2765812187507996,0.0,0.003694451812311807,0.0679500474878949,0.19107363074913447,0.18554990228731083,0.20258211132779036,0.0
1014,220808,3.03500872729575,9658223.2,0.014988077724275416,0.4028744334672241,0.01864591408490125,0.09678622875478794,0.29297978949171527,0.0,0.0,0.08335903854448094,0.10301816176706292,0.30508058666525745,0.05766224164295562,0.0
1015,221254,4.737935807729592,3616717.6666666665,0.0,0.3943278034881167,0.0,0.015457017057731812,0.3947507468327866,0.0,0.0,0.10288020823300834,0.11186505849272356,0.33557738771056966,0.010497455657998556,0.0
1016,221351,-1.0474922519542382,84872076.16666667,0.11377472744240259,0.4661816931280167,0.0,0.183256765583581,0.38929312590929366,0.0,0.0,0.10292791883059409,0.20195124169000092,0.11842938361644924,0.15901227992621844,0.0
1017,221519,-1.1779293133720037,104628633.16666667,0.0983159375720858,0.20776655977182562,0.01472054656599826,0.23860513205372577,0.3294607870717684,0.002656693089203263,0.0,0.1052226097209569,0.1501262292287201,0.2279262117666423,0.1785167431517579,0.00609072597095111
1018,221661,0.6642727413495149,74782982.16666667,0.027891434738696222,0.19273783841904513,0.024886860790317995,0.19800518876071477,0.36970762864714407,0.0007916662982859158,0.0084533581707726,0.072112460309681,0.12855166672244658,0.16008836261684872,0.18651752171254343,0.0
1019,221731,2.205974187512319,17430316.166666668,0.0,0.6377009971429376,0.0,0.16616007644229286,0.37488342748267417,0.0,0.0,0.028191485186006903,0.21579765377558602,0.22782773772022893,0.15324175081658728,0.0
1020,221892,1.0839198998833381,49267658.5,0.022216345705435406,0.288162953796556,0.0,0.1476269637075067,0.37594389633921815,0.0,0.0,0.08062381667005072,0.2326816620819653,0.1625668963612982,0.14818372854746756,0.0
1021,221953,0.602705414585493,31142588.5,0.026235241599564963,0.4038700839955334,0.0,0.22872693557034712,0.25039380825178786,0.0,0.07260047870886947,0.05006170783352407,0.21005234787510785,0.3090815492103362,0.10606944249351656,0.0
1022,221971,0.2739320237927124,64085160.833333336,0.023838118634666245,0.36230878617466733,0.0002972086894843168,0.16875631882175324,0.5697857250962921,0.0,0.0,0.09646846612033548,0.1302694007698844,0.0956504530371455,0.10782595497634248,0.0
1023,221999,-2.8541246623191534,1671185252.5,0.030371721062882787,0.12501861070605635,0.007810790463718105,0.17301291896522805,0.27338626292319634,0.13743985203898473,0.021844001003912244,0.08353726172756143,0.07515757273394601,0.11264461378636619,0.09046238367281188,0.0
1024,222178,-1.5395619863374996,136558186.16666666,0.042443367886121734,0.3777752835486366,0.040313908094441755,0.15937848749765604,0.30698816143351015,0.0074016702699394015,0.022164669032040955,0.0876098411661558,0.2022498634120088,0.2343178030177825,0.1392679904480815,0.0
1025,222983,-0.38902506932440956,44857582.333333336,0.10891694512262574,0.5644481790952814,3.474329018489903e-05,0.25963346798590653,0.35914526958419,0.00711752209383078,0.0006172757995346561,0.06583881356007394,0.1829860320827069,0.2618293992319262,0.12246568021681238,0.0
1026,223117,3.8646420241669115,1743805.6666666667,0.04733927729332225,0.0,0.0,0.03522315273280643,0.23199421877476023,0.0,0.0,0.13677613541417172,0.007163451126148039,0.2976480368512011,0.030074260950713732,0.0
1027,223232,-2.60064356259861,667644000.0,0.06303818751709993,0.3724148585673403,0.041128705318003805,0.07771157483129731,0.4204019407548534,0.046368523744191016,0.02206665029067387,0.08453182634258177,0.2360691725929787,0.13200448143022328,0.058557404844497965,0.0
1028,223463,0.6613966478210682,11463115.333333334,2.5342151025494928e-05,0.0319536899596753,0.002573471446650948,0.0,0.48911676017333966,0.0,0.0,0.06799844347141698,0.04796707968799406,0.18213369047495115,0.0,0.0
1029,224004,0.5786392732130495,40359416.166666664,0.024724994266827376,0.36089744889231695,0.0,0.04300298827001945,0.2903668737824532,0.0,0.0,0.06567193198206861,0.3749199386543819,0.21241539515662886,0.05662586042446757,0.0
1030,224226,-0.07241454426326079,92623026.83333333,0.04690965787393535,0.25643755099265175,0.0,0.12406252051494444,0.4010885316907363,0.0,0.0,0.05662572270253005,0.2750758643691557,0.18734985701296838,0.07986002422460962,0.0
1031,224244,4.354636864452652,4588695.833333333,0.006167148073118089,0.14849171923395085,0.0,0.1591919272632838,0.26310536672093654,0.0,0.0,0.12042840785372025,0.21505275191662118,0.2571086374396502,0.12427205623965415,0.0
